"Indkobsliste","maengde","enhed","kat_1","kat_2"
"skummetmælk",1,"liter","mejeri","mælk"
"sødmælk",1,"liter","mejeri","mælk"
"letmælk",1,"liter","mejeri","mælk"
"babypads",1,"stk","baby",""
"rugbrød",1,"pakke(r)","konserves","brød"
"æblejuice",1,"liter","konserves","juice"
"appelsinjuice",1,"liter","konserves","juice"
"multijuice",1,"liter","konserves","juice"
"brie",1,"stk","mejeri","ost"
"leverpostej",1,"pakke(r)","kød","pålæg"
"æggesalat",1,"pakke(r)","pålæg",""
"mørkpålægschokolade",1,"pakke(r)","konserves",""
"knækbrødwasasport",1,"pakke(r)","konserves",""
"bananer",1,"stk","frugtoggrønt",""
"skyr",1,"kg","mejeri",""
"müsli",1,"pakke(r)","konserves",""
"køkkenrulle",1,"pakke","husholdning",""
"toiletpapir",1,"pakke","husholdning",""
"bagepapir",1,"stk","husholdning",""
"husholdningsfilm",1,"stk","husholdning",""
"fryseposer4L",1,"stk","husholdning",""
"fryseposer8L",1,"stk","husholdning",""
"skraldeposer30L",1,"stk","husholdning",""
"sølvpapir",1,"stk","husholdning",""
"opvaskemiddel",1,"stk","husholdning",""
"håndsæbe",1,"stk","husholdning",""
"flydende margarine",1,"stk","konserves",""
"farvet flydende vaskemiddel",1,"stk","husholdning",""
"hvid flydende vaskemiddel",1,"stk","husholdning",""
"tunsalat",1,"pakke(r)","pålæg",""
"roastbeef",1,"pakke(r)","pålæg",""
"ciabattaboller",1,"pose(r)","konserves","brød"
"chokoladeost",1,"stk","mejeri","ost"
"ost",1,"stk","mejeri","ost"
"bagekartofler",1,"stk","frugt og grønt",""
"toastbrød",1,"stk","konserves","brød"
"nektariner",1,"stk","frugt og grønt",""
"pizzabund",1,"stk","køl",""
"hvidløgsflute",1,"stk","frost",""
"makrel i tomat (dåse)",1,"pakke(r)","konserves",""
"gitterfritter",1,"pakke(r)","frost",""
"ølandshvedemel",1,"kg","konserves","mel"
"jordbær",1,"pakke(r)","frugt og grønt",""
"kaviar",1,"stk","køl",""
"mango",1,"stk","frugt og grønt",""
"markrel i tomat",1,"pakke(r)","konserves",""
"parmaskinke",1,"stk","køl",""
"hindbærsyltetøj",1,"stk","konserves",""
"nutella",1,"stk","konserves",""
"pølsebrød",1,"pakke(r)","konserves","brød"
"klementiner",1,"pose(r)","frugt og grønt",""
"pastaskruer",100,"gram","konserves",""
"Pølser",1,"pakke(r)","køl",""
"æggehvider",1,"stk","mejeri",""
"kulør",1,"stk","konserves",""
"vindruer",1,"pakke(r)","frugt og grønt",""
"boller",1,"pakke(r)","konserves","brød"
"vitaminpiller",1,"pakke(r)","konserves",""
"tomatsuppe",1,"dåse(r)","konserves",""
"figenstænger",1,"pakke(r)","konserves",""
"majskolbe",1,"stk","frugt og grønt",""
"kammerjunker",1,"pose(r)","konserves",""
"Et eller andet ",1,"gram","konserves",""
"Havreris",1,"kg","konserves",""
